"","X","Y","Z","dataset"
"1",1.19080148328794,0.730287100188434,0.0777880333334906,"D1"
"2",-0.0809985166997649,0.352387099526823,0.0998880333331726,"D1"
"3",-0.534598516707774,-0.839212900027633,0.0424880333334841,"D1"
"4",-0.0282985166995786,0.0715870996937156,-0.409811966666894,"D1"
"5",0.0283014833112247,-0.94631290063262,0.0125880333334862,"D1"
"6",-0.0375985166756436,-0.621312900446355,0.0250880333333043,"D1"
"7",-0.752098516677506,0.230687099508941,0.507988033333277,"D1"
"8",0.106701483309735,-0.746112899854779,0.0285880333331079,"D1"
"9",-0.544298516702838,-0.244612900540233,-0.199411966666503,"D1"
"10",1.05050148331793,0.831687100231647,0.12808803333337,"D1"
"11",1.11240148328943,1.08438709937036,0.228088033333279,"D1"
"12",-0.754198516719043,-0.193912900052965,0.0449880333335386,"D1"
"13",0.293001483310945,-0.504912899807096,-0.134511966666651,"D1"
"14",1.16060148330871,0.582787100225687,0.0810880333333444,"D1"
"15",-0.380198516708333,0.536087099462748,0.401388033333205,"D1"
"16",-0.898698516713921,-0.153812900185585,0.0911880333333102,"D1"
"17",-1.01799851667602,-0.0383128998801112,0.290888033333431,"D1"
"18",0.615501483320259,0.512287099845707,0.0672880333331705,"D1"
"19",1.26610148331383,1.02648709993809,0.133588033333126,"D1"
"20",-0.491298516688403,0.268287099897861,0.416988033333382,"D1"
"21",-0.0260985167114995,-0.491112899966538,-0.0637119666666877,"D1"
"22",-0.613298516720533,0.364387099631131,0.460388033333402,"D1"
"23",-0.673098516708706,-0.0502129001542926,0.096888033333471,"D1"
"24",-0.980398516694549,-0.0368129005655646,0.160988033333524,"D1"
"25",-0.216998516698368,-0.0289129000157118,-0.443411966666645,"D1"
"26",-0.478698516672011,-0.177412900142372,-0.0905119666667815,"D1"
"27",0.50390148331644,0.12488709948957,-0.170011966666607,"D1"
"28",-0.699098516663071,-0.367612900212407,-0.300811966666515,"D1"
"29",-0.426198516681325,-0.355012900196016,-0.450711966666859,"D1"
"30",0.00770148332230747,0.517487099394202,0.178188033333299,"D1"
"31",-0.929498516663443,-0.0949129005894065,0.109688033333441,"D1"
"32",0.794801483280025,0.213687099516392,-0.150111966666827,"D1"
"33",0.642501483322121,0.723287099972367,0.148288033333301,"D1"
"34",-0.0186985167092644,0.343987099826336,0.0768880333334891,"D1"
"35",0.611901483323891,0.186087099835277,-0.122711966666884,"D1"
"36",1.11990148329642,0.840087099932134,0.108288033333338,"D1"
"37",0.0462014832883142,0.326587099581957,0.0424880333334841,"D1"
